row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean, variance, std.Dev
1024.000000, 1280.000000, 1792.000000, 2048.000000, 0.661337, 1.234740, 0.768938, 3.198917, 5.617066, 9.902665, 3.146850 
1024.000000, 1280.000000, 2048.000000, 2304.000000, 0.690570, 1.088157, 0.696103, 3.127381, 5.757964, 10.329800, 3.214001 
1024.000000, 1280.000000, 2304.000000, 2560.000000, 0.966070, 0.209007, 0.086682, 0.674379, 1.494255, 2.394796, 1.547513 
1024.000000, 1280.000000, 2560.000000, 2816.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 2816.000000, 3072.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 3072.000000, 3328.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 3328.000000, 3584.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 3584.000000, 3840.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1024.000000, 1280.000000, 3840.000000, 4096.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000 
1280.000000, 1536.000000, 1.000000, 256.000000, 0.655751, 1.397681, 0.804471, 3.289722, 5.572198, 10.217422, 3.196470 
1280.000000, 1536.000000, 256.000000, 512.000000, 0.671174, 1.284472, 0.760244, 3.242653, 5.576088, 10.123737, 3.181782 
1280.000000, 1536.000000, 512.000000, 768.000000, 0.665147, 1.219966, 0.760153, 3.190907, 5.489984, 9.512849, 3.084291 
