X,Y,Computed_Area,Computed Perimeter,Border Index,Minimum Ellipse Ratio,Minimum Ellipse Rotation,Minimum Enclosing Circle,Compactness,Edge Count,homogeneity,contrast,dissimilarity,entropy,mean,variance,std.Dev
49.8,673.2,128.0,74.0,1369.0,0.422274861532,62.6158409119,13.6061401367,0.293735474348,40.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
44.6,694.7,90.0,56.0,756.0,0.533704791647,40.2102890015,8.44662857056,0.360642015934,41.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
46.4,720.1,30.0,32.0,256.0,0.983858255436,15.3722028732,4.83417654037,0.368155390024,24.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
56.8,646.4,216.0,102.0,2295.0,0.647470435993,30.4177684784,15.146604538,0.260893523693,53.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
51.5,710.2,20.0,28.0,196.0,0.436917121133,58.5229110718,4.60629987717,0.320570707321,24.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
55.6,529.0,52.0,42.0,441.0,0.581019166419,72.7393875122,6.87095689774,0.37043723464,29.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
55.3,577.9,78.0,44.0,484.0,0.829897418983,121.653823853,6.22276878357,0.506289720535,34.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
66.3,627.5,200.0,78.0,1443.0,0.503719748737,94.8291854858,12.370724678,0.413095682859,49.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
70.7,641.2,79.0,42.0,441.0,0.817966419344,94.302116394,6.24807739258,0.562779664993,26.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
77.1,517.9,156.0,62.0,930.0,0.612456629819,80.0049285889,9.6209936142,0.509977579117,40.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
89.0,687.1,137.0,82.0,1640.0,0.221516029321,74.7045135498,15.3639268875,0.256036996841,48.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
83.4,548.6,108.0,60.0,870.0,0.805979587975,119.990859985,8.17738437653,0.376991122961,42.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
86.1,648.5,144.0,68.0,1122.0,0.727714269068,44.0589981079,9.50097084045,0.391340255737,46.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
83.8,593.4,91.0,46.0,529.0,0.891721996263,103.294891357,6.37019824982,0.540425240993,34.0,0.686011,1.11969,0.708862,3.13991,5.723541,10.268291,3.204417
