X,Y
645.1,1815.2
645.9,313.3
646.1,459.7
646.5,1630.2
646.9,173.1
652.9,161.9
649.1,647.5
659.8,1139
653.4,182.7
654.2,853.6
655.5,227.8
654.9,324.4
652.2,341.7
653,435.5
657.4,745.8
656.5,972.8
655.4,352.8
659.1,1019.2
657.2,1833.7
660.8,928.6
670,1618.1
663.9,1758.2
663.4,769.3
659.1,1207.8
660,1293.7
660.6,278.3
661.6,683.4
661.9,1481
660.7,1539.3
666.3,150.2
664.6,806.1
663.6,1260.6
670.4,1679.4
668,995.3
665.9,1709.9
670.3,1226
670,186.8
667.7,713.9
669.6,1.7
669.5,857.1
665.3,1087.7
668.3,1554.3
672,1591.6
670.3,1104.4
668,1530.5
674.3,1800.7
674.1,1303.5
674,887.8
671.3,1452.5
671.8,1039.3
673.8,1358.3
675.3,1189.1
675.7,1152.9
674.5,1466.7
680.7,1119.6
681.1,1633.8
683.5,91.6
680.1,556.6
679.9,1775.3
680.1,326.9
687.2,1813
685.9,293.9
682.4,1012.8
688.2,597.5
690,1497.8
689.1,114.9
688.4,171.8
688.3,907.5
687.4,1365.6
692,1677.9
690.1,1765.7
696.9,1795.8
694.8,39.5
689.8,162.7
693.4,262.1
693.4,874.9
692.6,1185.4
693.1,610.1
693.5,719.3
694.9,1356
694.6,1057.5
698,452.9
698.5,971.4
699.3,153
702.4,1712.1
705.4,1690.5
700.4,1286.6
708.1,1732.9
705.8,1563.7
708.4,1767.7
710.2,114.4
707.2,1053.8
702.4,1606.3
709.5,398.2
705.5,905.2
707.9,1621.3
714.1,39.8
707.9,1781.4
707.1,565.8
707.9,1260.9
711,360.3
712.1,1219.7
710.3,1667.8
714,1839.8
715.5,10.1
711.1,1336.3
711.8,84.7
715.6,247.7
711.5,1491.3
711.8,1643.3
713.4,1091.3
715.4,1815.7
714.5,881.4
719.3,1594.8
720,224.1
719.5,1096
722.7,176.4
719.9,939.1
723.4,1373.9
726.6,1494.9
723.9,1176.5
726.9,1820
734.5,1702.2
736.4,759.4
745.9,1589.4
730.8,1845.2
737.1,467.8
734.1,1646.7
735.8,1046.2
737,1430.9
736.8,76.7
741.5,403.7
737.2,1569.2
737.2,67.1
747.7,351
746,100.7
747.9,1813
743.5,437.3
743.7,838.9
744.4,1124.6
747.4,1662.5
743.4,626.3
756.1,318.8
748.1,341.7
749.5,1611.6
747.6,1396.4
746.9,1728.7
753.7,1764.5
748.2,59.8
748.5,199.3
750.3,1717.2
752.8,1848.1
752.5,507.9
757.7,696.4
754.7,1165.5
757.2,1000.6
755.8,1562.2
758.9,1249.4
760.3,881.7
761.3,1370.9
759.9,466.8
761.8,1285.5
766.4,1503.5
768.3,434.4
767.1,1601
766.9,1563.3
770.3,116.3
770.1,142.8
766.9,160.4
767.8,1226.6
767.5,1575.4
767.7,608.1
772,980.7
770.6,1438.8
771.6,523.7
775.1,1686.7
771.1,506.6
772.4,1158.8
776.7,1619.4
772.9,28.3
775.1,401
779.6,324.2
776.4,1278
778.4,1512.7
775.4,1474.4
781.6,462.9
777.4,965.8
779.8,1139.9
778,1636.6
780.3,1830.2
783.1,268.3
788.5,1672.8
780.3,253.7
778.5,1558.7
781,1793.7
784.9,177.4
782.9,696.2
783.9,1435.1
792.7,195.2
793.1,1256.1
791.3,284.2
789.2,302.3
794.6,1749.1
791,228.1
792.2,431.6
792.3,833.1
793.9,1451.4
795.3,1719.1
798,214.8
797.3,257.4
795.6,382.5
804.5,26.2
797.5,1549.8
795.6,1559.3
797.2,1733
798.7,1807.3
797.9,497.5
799.4,1294.4
800.9,1584.2
800,1634.4
808.9,1141.9
805.3,1643.3
805.5,1234.8
807.7,1209.7
808.1,91
810,1743
810.1,1156.8
816.7,1708.1
813.7,310.5
811.7,1484.6
810.1,1532.7
815.5,327.8
814.9,1584.8
815.1,1266.1
816.4,1320.7
817.9,1778.4
815.3,971.2
818.2,533.7
817.1,391.5
820.4,1355.3
820.7,1288.4
821.4,1666.5
823.7,1089.1
827.9,1504
824.9,266.8
823.1,378.5
829.5,1835.1
827.4,303.5
829.9,98.7
832.7,1169.2
833.3,1757.4
829.1,253.1
830.8,1190.1
837.1,366.5
833.6,623.4
835.1,1546.7
835.4,2.7
835.4,1709.6
836.7,1107.4
835.8,1383.9
835.1,183.9
832.9,231.7
839,1673.6
841.8,1359.5
837.8,956.8
841,1418.3
841.5,943.8
847.5,1690
845.1,1776.3
841.4,1228.8
847.4,1163.2
847.3,187.6
850.6,131.7
850.3,296.6
847.4,1637.7
848.8,29.1
855,221.5
855.1,1240.9
855.6,1744.5
854.6,1482.4
855.5,1028.4
857.7,1826
855.5,642
856.3,1119.5
860.5,91.6
858.2,1070.4
863.5,52.7
863.7,315.9
860.3,683.7
865.6,438.9
865.4,1322.9
869.2,1529
867.2,525.5
867.4,1466.4
867.1,1603.5
871.9,574
870.1,1716.6
871.1,219.9
868.1,662.6
869.6,1544.6
874.6,1672.5
871.1,1631.2
869.3,1087
873.8,859.5
878.9,64.9
872.9,159.7
874.4,1229.4
876.7,392.7
876,1368.9
877.6,89.5
879.1,1086.3
879.2,1422.9
882.4,1349.4
883.9,1286.2
883.7,1461.8
882.5,1539.5
885.9,1627
885.8,214.1
888.5,1075.6
887.4,1272.7
888.1,1718.2
887.5,855.2
885.9,1028.2
886.7,1412.9
888.7,1110.8
888.2,1673.9
893.4,126.3
889.1,874.6
888,1428.3
890,863.6
889.8,1471
891.5,753.3
899,297.1
894.2,1840.5
905.9,1745.4
898.1,673.2
894.5,150.9
896.1,443.9
895.3,1371.5
901.6,527.6
902,139.7
906.2,339.9
901.6,1044.9
906,1699.8
904.8,380.5
902.7,1346
904,701.2
910.9,1179.9
907.5,1817.8
909.9,1063.6
909.5,1452.7
915.1,33.1
910.3,257.8
912.2,1285
914.7,1298.8
915,1514
916.2,1593.5
916.4,767.7
915.7,1128.7
916.8,1210
916.8,1780.2
914.8,158.8
918.6,203.5
918.2,297.1
927.1,1830.6
918.3,145.1
916.9,834.4
916.9,1085.6
921.9,427.7
925.7,996.6
922.8,1251.1
930.7,1273.8
927.2,179.6
923.9,611.2
926.2,56.1
928.3,123.2
934.9,235.1
925.9,571.4
927.3,1464.5
927.5,1493.4
927.5,1846.5
930.3,1366.6
927.4,689.8
930.6,903
929.2,812.9
934.8,394.1
939.7,379.4
933.1,1424.8
944.4,1621.9
941.3,162.3
943.6,626.4
949.1,1511
941.5,1606.5
945.9,6.6
940.9,1344.5
946.1,60.9
945.8,141.4
942.2,1540.7
943.8,1306.6
944.2,1689.2
950.5,426.5
943.7,1451.5
950.9,1768.6
948.9,805.6
950,1565.2
948.6,1044.1
958.8,182.7
948.2,1678.4
952.2,1799.7
949.9,1101.8
952.1,158.6
957.4,68.4
960.8,97.1
957,1497
959.7,2.7
957.8,862.6
959.4,344.9
960.2,1554.5
964,621.6
964.3,488.5
965.3,589.8
962.8,720.6
966.5,1432.9
968.3,12.4
966,246.4
967.1,283.5
969,1582.5
971.2,685.4
969,765.3
965.4,1280.6
966.2,154.6
966.8,514.9
967.2,704
971.1,1182.6
969.8,871.7
970,714.1
972.4,983.4
971.6,545.1
974.5,1473.9
972.6,1553.2
976.3,323
975.2,365.6
974.9,1393.3
978.2,158
974.1,703.4
976.2,1689.6
978.1,1761.2
980.1,1805.3
980.5,343.6
978,452.4
977.7,1108.2
978.7,1625.3
981.6,510.8
983.7,225.4
979.1,1072.8
981,1326.2
983.7,1412.1
984.4,278.7
983.3,1677
979.9,1847.5
987.8,35.1
983.4,792.1
987.3,1556.2
987.5,1700.7
984.5,1835.8
995.4,735.6
989.8,752.2
987.9,1034.9
986,1461.8
991.2,124.3
991.8,145.2
989.1,1479.6
995.2,105.1
992.7,421.6
996,1422.8
997.4,238
1000.2,1022.1
998.8,1786.5
997.8,71.2
1006.7,1688.7
1002.7,1755.5
996.9,1811.9
1000.2,660.1
1000,192
1003.4,548.7
1000.9,1163.2
1000.9,1545.2
1002.9,364.8
1007.9,1653.9
1003.6,1740
1011.2,14.2
1007.2,133.5
1006.6,1591.7
1006.2,788.7
1007,1488.9
1010.2,217
1011.1,694.3
1007.8,769.7
1011.4,937.6
1010.7,1725.7
1012.4,676.5
1012.9,310.6
1014.7,1505.8
1016.6,84.1
1013.1,446.5
1015,609
1020.2,182
1016,1070.3
1016.4,1779.5
1023.6,31.5
1021.5,627.4
1017.2,1710.8
